-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	263
-125	-120	4995
-120	-115	5604
-115	-110	6094
-110	-105	6911
-105	-100	8964
-100	-95	12529
-95	-90	18465
-90	-85	27765
-85	-80	40996
-80	-75	54415
-75	-70	66363
-70	-65	73203
-65	-60	75775
-60	-55	75316
-55	-50	69556
-50	-45	67941
-45	-40	65400
-40	-35	61214
-35	-30	55737
-30	-25	48190
-25	-20	43477
-20	-15	35817
-15	-10	27410
-10	-5	18721
-5	0	11614
0	5	5889
5	10	3239
10	15	1841
15	20	1067
20	25	705
25	30	534
30	35	430
35	40	308
40	45	262
45	50	252
50	55	298
55	60	190
60	65	131
65	70	211
70	75	197
75	80	90
80	85	130
85	90	43
90	95	28
95	100	7
100	105	14
105	110	10
110	115	7
115	120	6
120	125	1
125	130	3
130	135	2
135	140	3
140	145	3
145	150	5
150	155	3
155	160	2
160	165	0
165	170	2
170	175	1
175	180	1
180	185	1
185	190	0
190	195	1
195	200	0
200	205	0
205	210	0
210	215	0
215	220	1
220	225	1
225	230	0
230	235	0
235	240	0
240	245	1
245	250	2
