-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	519
-125	-120	8270
-120	-115	6368
-115	-110	6786
-110	-105	7684
-105	-100	8623
-100	-95	10388
-95	-90	13180
-90	-85	17853
-85	-80	27630
-80	-75	42490
-75	-70	55413
-70	-65	66024
-65	-60	75026
-60	-55	77198
-55	-50	74112
-50	-45	70780
-45	-40	71931
-40	-35	69295
-35	-30	59661
-30	-25	52806
-25	-20	48253
-20	-15	40551
-15	-10	31577
-10	-5	22936
-5	0	14519
0	5	8223
5	10	4176
10	15	2308
15	20	1425
20	25	809
25	30	601
30	35	467
35	40	375
40	45	259
45	50	250
50	55	170
55	60	114
60	65	56
65	70	41
70	75	17
75	80	19
80	85	12
85	90	4
90	95	11
95	100	5
100	105	16
105	110	8
110	115	9
115	120	7
120	125	5
125	130	2
130	135	8
135	140	2
140	145	5
145	150	2
150	155	6
155	160	0
160	165	1
165	170	3
170	175	13
175	180	9
180	185	1
185	190	2
190	195	1
195	200	2
200	205	0
205	210	1
210	215	0
215	220	0
220	225	1
225	230	1
230	235	0
235	240	0
240	245	0
245	250	0
