-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	253
-125	-120	4751
-120	-115	5837
-115	-110	6898
-110	-105	8114
-105	-100	10736
-100	-95	15650
-95	-90	23402
-90	-85	35631
-85	-80	52789
-80	-75	68590
-75	-70	80193
-70	-65	85202
-65	-60	86079
-60	-55	82466
-55	-50	78443
-50	-45	72805
-45	-40	66393
-40	-35	58501
-35	-30	48367
-30	-25	36991
-25	-20	26955
-20	-15	17451
-15	-10	9978
-10	-5	6037
-5	0	3218
0	5	1711
5	10	1369
10	15	1088
15	20	791
20	25	581
25	30	397
30	35	288
35	40	203
40	45	190
45	50	172
50	55	243
55	60	139
60	65	84
65	70	93
70	75	85
75	80	23
80	85	20
85	90	13
90	95	6
95	100	8
100	105	4
105	110	3
110	115	4
115	120	2
120	125	3
125	130	1
130	135	2
135	140	1
140	145	2
145	150	1
150	155	2
155	160	1
160	165	2
165	170	4
170	175	1
175	180	1
180	185	0
185	190	0
190	195	0
195	200	2
200	205	1
205	210	1
210	215	0
215	220	1
220	225	2
225	230	0
230	235	0
235	240	0
240	245	0
245	250	1
