-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	209
-125	-120	3695
-120	-115	4329
-115	-110	5275
-110	-105	6562
-105	-100	8328
-100	-95	11608
-95	-90	17278
-90	-85	27090
-85	-80	41761
-80	-75	56342
-75	-70	68965
-70	-65	77432
-65	-60	80981
-60	-55	80478
-55	-50	76917
-50	-45	72396
-45	-40	67939
-40	-35	64616
-35	-30	57086
-30	-25	49609
-25	-20	40935
-20	-15	30695
-15	-10	20700
-10	-5	11961
-5	0	6320
0	5	3002
5	10	1795
10	15	1063
15	20	703
20	25	502
25	30	421
30	35	263
35	40	236
40	45	177
45	50	244
50	55	286
55	60	175
60	65	184
65	70	336
70	75	355
75	80	119
80	85	132
85	90	23
90	95	12
95	100	2
100	105	5
105	110	4
110	115	5
115	120	4
120	125	2
125	130	3
130	135	2
135	140	3
140	145	2
145	150	4
150	155	1
155	160	2
160	165	0
165	170	0
170	175	3
175	180	0
180	185	1
185	190	1
190	195	3
195	200	0
200	205	1
205	210	1
210	215	0
215	220	0
220	225	2
225	230	2
230	235	0
235	240	0
240	245	0
245	250	0
